Length	Method	Counts
2400	DirInf-orph	332
2500	DirInf-orph	328
2600	DirInf-orph	237
2700	DirInf-orph	229
2800	DirInf-orph	167
2900	DirInf-orph	174
3000	DirInf-orph	138
3100	DirInf-orph	157
3200	DirInf-orph	134
3300	DirInf-orph	99
3400	DirInf-orph	87
3500	DirInf-orph	57
3600	DirInf-orph	80
3700	DirInf-orph	59
3800	DirInf-orph	51
3900	DirInf-orph	39
4000	DirInf-orph	35
4100	DirInf-orph	36
4200	DirInf-orph	28
4300	DirInf-orph	25
4400	DirInf-orph	14
4500	DirInf-orph	21
4600	DirInf-orph	25
4700	DirInf-orph	7
>4500	DirInf-orph	216
100	DirInf-pool	0
200	DirInf-pool	0
300	DirInf-pool	17
400	DirInf-pool	1114
500	DirInf-pool	923
600	DirInf-pool	845
700	DirInf-pool	777
800	DirInf-pool	682
900	DirInf-pool	672
1000	DirInf-pool	709
1100	DirInf-pool	702
1200	DirInf-pool	636
1300	DirInf-pool	572
1400	DirInf-pool	470
1500	DirInf-pool	486
1600	DirInf-pool	468
1700	DirInf-pool	344
1800	DirInf-pool	319
1900	DirInf-pool	276
2000	DirInf-pool	206
2100	DirInf-pool	170
2200	DirInf-pool	143
2300	DirInf-pool	137
2400	DirInf-pool	115
2500	DirInf-pool	118
2600	DirInf-pool	80
2700	DirInf-pool	64
2800	DirInf-pool	60
2900	DirInf-pool	59
3000	DirInf-pool	50
3100	DirInf-pool	51
3200	DirInf-pool	48
3300	DirInf-pool	38
3400	DirInf-pool	31
3500	DirInf-pool	18
3600	DirInf-pool	33
3700	DirInf-pool	22
3800	DirInf-pool	22
3900	DirInf-pool	17
4000	DirInf-pool	19
4100	DirInf-pool	11
4200	DirInf-pool	14
4300	DirInf-pool	8
4400	DirInf-pool	7
4500	DirInf-pool	11
4600	DirInf-pool	11
4700	DirInf-pool	5
>4500	DirInf-pool	85
