Score	Method	Counts
23	Make-pool+trans	80
24	Make-pool+trans	70
25	Make-pool+trans	58
26	Make-pool+trans	54
27	Make-pool+trans	65
28	Make-pool+trans	77
29	Make-pool+trans	81
30	Make-pool+trans	97
31	Make-pool+trans	71
32	Make-pool+trans	72
33	Make-pool+trans	69
34	Make-pool+trans	84
35	Make-pool+trans	78
36	Make-pool+trans	119
37	Make-pool+trans	111
38	Make-pool+trans	116
39	Make-pool+trans	104
40	Make-pool+trans	103
41	Make-pool+trans	123
42	Make-pool+trans	133
43	Make-pool+trans	126
44	Make-pool+trans	137
45	Make-pool+trans	118
46	Make-pool+trans	145
47	Make-pool+trans	146
48	Make-pool+trans	143
49	Make-pool+trans	150
50	Make-pool+trans	168
51	Make-pool+trans	180
52	Make-pool+trans	179
53	Make-pool+trans	192
54	Make-pool+trans	177
55	Make-pool+trans	195
56	Make-pool+trans	186
57	Make-pool+trans	202
58	Make-pool+trans	234
59	Make-pool+trans	232
60	Make-pool+trans	224
61	Make-pool+trans	235
62	Make-pool+trans	255
63	Make-pool+trans	291
64	Make-pool+trans	282
65	Make-pool+trans	271
66	Make-pool+trans	275
67	Make-pool+trans	253
68	Make-pool+trans	241
69	Make-pool+trans	228
70	Make-pool+trans	278
71	Make-pool+trans	269
72	Make-pool+trans	297
73	Make-pool+trans	270
74	Make-pool+trans	285
75	Make-pool+trans	289
76	Make-pool+trans	295
77	Make-pool+trans	356
78	Make-pool+trans	344
79	Make-pool+trans	357
80	Make-pool+trans	349
81	Make-pool+trans	417
82	Make-pool+trans	410
83	Make-pool+trans	429
84	Make-pool+trans	456
85	Make-pool+trans	496
86	Make-pool+trans	511
87	Make-pool+trans	545
88	Make-pool+trans	624
89	Make-pool+trans	637
90	Make-pool+trans	659
91	Make-pool+trans	726
92	Make-pool+trans	795
93	Make-pool+trans	849
94	Make-pool+trans	943
95	Make-pool+trans	984
96	Make-pool+trans	1090
97	Make-pool+trans	1167
98	Make-pool+trans	1248
99	Make-pool+trans	858
100	Make-pool+trans	462
0	Make-small+trans	5354
1	Make-small+trans	11
2	Make-small+trans	5
3	Make-small+trans	10
4	Make-small+trans	8
5	Make-small+trans	7
6	Make-small+trans	10
7	Make-small+trans	9
8	Make-small+trans	12
9	Make-small+trans	11
10	Make-small+trans	18
11	Make-small+trans	18
12	Make-small+trans	14
13	Make-small+trans	16
14	Make-small+trans	28
15	Make-small+trans	20
16	Make-small+trans	23
17	Make-small+trans	21
18	Make-small+trans	34
19	Make-small+trans	25
20	Make-small+trans	27
21	Make-small+trans	37
22	Make-small+trans	35
23	Make-small+trans	27
24	Make-small+trans	34
25	Make-small+trans	36
26	Make-small+trans	40
27	Make-small+trans	32
28	Make-small+trans	42
29	Make-small+trans	37
30	Make-small+trans	54
31	Make-small+trans	48
32	Make-small+trans	66
33	Make-small+trans	57
34	Make-small+trans	49
35	Make-small+trans	84
36	Make-small+trans	59
37	Make-small+trans	69
38	Make-small+trans	62
39	Make-small+trans	58
40	Make-small+trans	72
41	Make-small+trans	75
42	Make-small+trans	92
43	Make-small+trans	78
44	Make-small+trans	77
45	Make-small+trans	91
46	Make-small+trans	104
47	Make-small+trans	92
48	Make-small+trans	113
49	Make-small+trans	96
50	Make-small+trans	96
51	Make-small+trans	106
52	Make-small+trans	108
53	Make-small+trans	126
54	Make-small+trans	138
55	Make-small+trans	147
56	Make-small+trans	120
57	Make-small+trans	172
58	Make-small+trans	163
59	Make-small+trans	164
60	Make-small+trans	174
61	Make-small+trans	178
62	Make-small+trans	183
63	Make-small+trans	205
64	Make-small+trans	206
65	Make-small+trans	186
66	Make-small+trans	187
67	Make-small+trans	217
68	Make-small+trans	211
69	Make-small+trans	203
70	Make-small+trans	215
71	Make-small+trans	236
72	Make-small+trans	251
73	Make-small+trans	276
74	Make-small+trans	279
75	Make-small+trans	315
76	Make-small+trans	330
77	Make-small+trans	388
78	Make-small+trans	363
79	Make-small+trans	413
80	Make-small+trans	443
81	Make-small+trans	507
82	Make-small+trans	571
83	Make-small+trans	576
84	Make-small+trans	631
85	Make-small+trans	667
86	Make-small+trans	718
87	Make-small+trans	746
88	Make-small+trans	762
89	Make-small+trans	808
90	Make-small+trans	835
91	Make-small+trans	850
92	Make-small+trans	873
93	Make-small+trans	845
94	Make-small+trans	829
95	Make-small+trans	782
96	Make-small+trans	638
97	Make-small+trans	542
98	Make-small+trans	402
99	Make-small+trans	207
100	Make-small+trans	322
0	DirInf-orph	702
1	DirInf-orph	16
2	DirInf-orph	20
3	DirInf-orph	12
4	DirInf-orph	21
5	DirInf-orph	24
6	DirInf-orph	13
7	DirInf-orph	21
8	DirInf-orph	18
9	DirInf-orph	15
10	DirInf-orph	10
11	DirInf-orph	14
12	DirInf-orph	19
13	DirInf-orph	24
14	DirInf-orph	16
15	DirInf-orph	16
16	DirInf-orph	22
17	DirInf-orph	25
18	DirInf-orph	17
19	DirInf-orph	31
20	DirInf-orph	38
21	DirInf-orph	29
22	DirInf-orph	31
23	DirInf-orph	34
24	DirInf-orph	44
25	DirInf-orph	35
26	DirInf-orph	16
27	DirInf-orph	33
28	DirInf-orph	46
29	DirInf-orph	36
30	DirInf-orph	43
31	DirInf-orph	46
32	DirInf-orph	34
33	DirInf-orph	44
34	DirInf-orph	41
35	DirInf-orph	42
36	DirInf-orph	45
37	DirInf-orph	60
38	DirInf-orph	46
39	DirInf-orph	46
40	DirInf-orph	50
41	DirInf-orph	46
42	DirInf-orph	59
43	DirInf-orph	47
44	DirInf-orph	45
45	DirInf-orph	55
46	DirInf-orph	62
47	DirInf-orph	72
48	DirInf-orph	68
49	DirInf-orph	61
50	DirInf-orph	57
51	DirInf-orph	71
52	DirInf-orph	52
53	DirInf-orph	79
54	DirInf-orph	69
55	DirInf-orph	81
56	DirInf-orph	93
57	DirInf-orph	89
58	DirInf-orph	73
59	DirInf-orph	87
60	DirInf-orph	96
61	DirInf-orph	92
62	DirInf-orph	91
63	DirInf-orph	121
64	DirInf-orph	102
65	DirInf-orph	119
66	DirInf-orph	121
67	DirInf-orph	116
68	DirInf-orph	110
69	DirInf-orph	156
70	DirInf-orph	163
71	DirInf-orph	165
72	DirInf-orph	189
73	DirInf-orph	194
74	DirInf-orph	180
75	DirInf-orph	240
76	DirInf-orph	233
77	DirInf-orph	252
78	DirInf-orph	288
79	DirInf-orph	300
80	DirInf-orph	373
81	DirInf-orph	353
82	DirInf-orph	452
83	DirInf-orph	483
84	DirInf-orph	536
85	DirInf-orph	600
86	DirInf-orph	693
87	DirInf-orph	720
88	DirInf-orph	855
89	DirInf-orph	966
90	DirInf-orph	1038
91	DirInf-orph	1210
92	DirInf-orph	1344
93	DirInf-orph	1397
94	DirInf-orph	1647
95	DirInf-orph	1708
96	DirInf-orph	1836
97	DirInf-orph	1962
98	DirInf-orph	1789
99	DirInf-orph	956
0	DirInf-pool	7785
1	DirInf-pool	175
2	DirInf-pool	355
3	DirInf-pool	394
4	DirInf-pool	459
5	DirInf-pool	361
6	DirInf-pool	267
7	DirInf-pool	170
8	DirInf-pool	151
9	DirInf-pool	97
10	DirInf-pool	77
11	DirInf-pool	75
12	DirInf-pool	92
13	DirInf-pool	94
14	DirInf-pool	75
15	DirInf-pool	84
16	DirInf-pool	107
17	DirInf-pool	102
